Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Australia;2020-01-26;    4;  4;  0; 0;    0;   0;   4;    4;2020;styczeń;26;niedziela;0,0000;0,0000;1,0000;  1;  0;267,0;226,5;281,0;131,0
Australia;2020-01-27;    5;  1;  0; 0;    0;   0;   5;    1;2020;styczeń;27;poniedziałek;0,0000;0,0000;1,0000;  2;  0;282,5;226,5;281,0;153,5
Australia;2020-01-28;    5;  0;  0; 0;    0;   0;   5;    0;2020;styczeń;28;wtorek;0,0000;0,0000;1,0000;  3;  0;299,5;226,5;281,0;171,0
Australia;2020-01-29;    6;  1;  0; 0;    0;   0;   6;    1;2020;styczeń;29;środa;0,0000;0,0000;1,0000;  4;  0;282,5;226,5;281,0;153,5
Australia;2020-01-30;    9;  3;  0; 0;    2;   2;   7;    1;2020;styczeń;30;czwartek;0,0000;0,2222;0,7778;  5;  0;273,0;226,5;237,5;153,5
Australia;2020-01-31;    9;  0;  0; 0;    2;   0;   7;    0;2020;styczeń;31;piątek;0,0000;0,2222;0,7778;  6;  0;299,5;226,5;281,0;171,0
Australia;2020-02-01;   12;  3;  0; 0;    2;   0;  10;    3;2020;luty; 1;sobota;0,0000;0,1667;0,8333;  7;  0;273,0;226,5;281,0;139,0
Australia;2020-02-02;   12;  0;  0; 0;    2;   0;  10;    0;2020;luty; 2;niedziela;0,0000;0,1667;0,8333;  8;  0;299,5;226,5;281,0;171,0
Australia;2020-02-03;   12;  0;  0; 0;    2;   0;  10;    0;2020;luty; 3;poniedziałek;0,0000;0,1667;0,8333;  9;  0;299,5;226,5;281,0;171,0
Australia;2020-02-04;   13;  1;  0; 0;    2;   0;  11;    1;2020;luty; 4;wtorek;0,0000;0,1538;0,8462; 10;  0;282,5;226,5;281,0;153,5
Australia;2020-02-05;   13;  0;  0; 0;    2;   0;  11;    0;2020;luty; 5;środa;0,0000;0,1538;0,8462; 11;  0;299,5;226,5;281,0;171,0
Australia;2020-02-06;   14;  1;  0; 0;    2;   0;  12;    1;2020;luty; 6;czwartek;0,0000;0,1429;0,8571; 12;  0;282,5;226,5;281,0;153,5
Australia;2020-02-07;   15;  1;  0; 0;    2;   0;  13;    1;2020;luty; 7;piątek;0,0000;0,1333;0,8667; 13;  0;282,5;226,5;281,0;153,5
Australia;2020-02-08;   15;  0;  0; 0;    2;   0;  13;    0;2020;luty; 8;sobota;0,0000;0,1333;0,8667; 14;  0;299,5;226,5;281,0;171,0
Australia;2020-02-09;   15;  0;  0; 0;    2;   0;  13;    0;2020;luty; 9;niedziela;0,0000;0,1333;0,8667; 15;  0;299,5;226,5;281,0;171,0
Australia;2020-02-10;   15;  0;  0; 0;    2;   0;  13;    0;2020;luty;10;poniedziałek;0,0000;0,1333;0,8667; 16;  0;299,5;226,5;281,0;171,0
Australia;2020-02-11;   15;  0;  0; 0;    2;   0;  13;    0;2020;luty;11;wtorek;0,0000;0,1333;0,8667; 17;  0;299,5;226,5;281,0;171,0
Australia;2020-02-12;   15;  0;  0; 0;    2;   0;  13;    0;2020;luty;12;środa;0,0000;0,1333;0,8667; 18;  0;299,5;226,5;281,0;171,0
Australia;2020-02-13;   15;  0;  0; 0;    8;   6;   7;   -6;2020;luty;13;czwartek;0,0000;0,5333;0,4667; 19;  0;299,5;226,5;205,0;205,0
Australia;2020-02-14;   15;  0;  0; 0;    8;   0;   7;    0;2020;luty;14;piątek;0,0000;0,5333;0,4667; 20;  0;299,5;226,5;281,0;171,0
Australia;2020-02-15;   15;  0;  0; 0;    8;   0;   7;    0;2020;luty;15;sobota;0,0000;0,5333;0,4667; 21;  0;299,5;226,5;281,0;171,0
Australia;2020-02-16;   15;  0;  0; 0;    8;   0;   7;    0;2020;luty;16;niedziela;0,0000;0,5333;0,4667; 22;  0;299,5;226,5;281,0;171,0
Australia;2020-02-17;   15;  0;  0; 0;   10;   2;   5;   -2;2020;luty;17;poniedziałek;0,0000;0,6667;0,3333; 23;  0;299,5;226,5;237,5;192,0
Australia;2020-02-18;   15;  0;  0; 0;   10;   0;   5;    0;2020;luty;18;wtorek;0,0000;0,6667;0,3333; 24;  0;299,5;226,5;281,0;171,0
Australia;2020-02-19;   15;  0;  0; 0;   10;   0;   5;    0;2020;luty;19;środa;0,0000;0,6667;0,3333; 25;  0;299,5;226,5;281,0;171,0
Australia;2020-02-20;   15;  0;  0; 0;   10;   0;   5;    0;2020;luty;20;czwartek;0,0000;0,6667;0,3333; 26;  0;299,5;226,5;281,0;171,0
Australia;2020-02-21;   15;  0;  0; 0;   11;   1;   4;   -1;2020;luty;21;piątek;0,0000;0,7333;0,2667; 27;  0;299,5;226,5;246,0;187,0
Australia;2020-02-22;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;22;sobota;0,0000;0,7333;0,2667; 28;  0;299,5;226,5;281,0;171,0
Australia;2020-02-23;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;23;niedziela;0,0000;0,7333;0,2667; 29;  0;299,5;226,5;281,0;171,0
Australia;2020-02-24;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;24;poniedziałek;0,0000;0,7333;0,2667; 30;  0;299,5;226,5;281,0;171,0
Australia;2020-02-25;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;25;wtorek;0,0000;0,7333;0,2667; 31;  0;299,5;226,5;281,0;171,0
Australia;2020-02-26;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;26;środa;0,0000;0,7333;0,2667; 32;  0;299,5;226,5;281,0;171,0
Australia;2020-02-27;   15;  0;  0; 0;   11;   0;   4;    0;2020;luty;27;czwartek;0,0000;0,7333;0,2667; 33;  0;299,5;226,5;281,0;171,0
