Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Mongolia;2020-03-10;     1;   1;  0; 0;    0;   0;    1;    1;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  1;  0;269,5;274,0;360,5;195,5
Mongolia;2020-03-11;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;11;środa;0,0000;0,0000;1,0000;  2;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-12;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  3;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-13;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  4;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-14;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  5;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-15;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  6;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-16;     1;   0;  0; 0;    0;   0;    1;    0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  7;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-17;     5;   4;  0; 0;    0;   0;    5;    4;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  8;  0;220,5;274,0;360,5;154,5
Mongolia;2020-03-18;     6;   1;  0; 0;    0;   0;    6;    1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  9;  0;269,5;274,0;360,5;195,5
Mongolia;2020-03-19;     6;   0;  0; 0;    0;   0;    6;    0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 10;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-20;     6;   0;  0; 0;    0;   0;    6;    0;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 11;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-21;    10;   4;  0; 0;    0;   0;   10;    4;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 12;  0;220,5;274,0;360,5;154,5
Mongolia;2020-03-22;    10;   0;  0; 0;    0;   0;   10;    0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 13;  0;382,0;274,0;360,5;280,5
Mongolia;2020-03-23;    10;   0;  0; 0;    0;   0;   10;    0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 14;  0;382,0;274,0;360,5;280,5
