Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
El Salvador;2020-03-19;    1;  1;  0; 0;    0;  0;    1;   1;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  1;  0;175,5
El Salvador;2020-03-20;    1;  0;  0; 0;    0;  0;    1;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  2;  0;179,5
El Salvador;2020-03-21;    3;  2;  0; 0;    0;  0;    3;   2;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  3;  0;173,0
El Salvador;2020-03-22;    3;  0;  0; 0;    0;  0;    3;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  4;  0;179,5
El Salvador;2020-03-23;    3;  0;  0; 0;    0;  0;    3;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  5;  0;179,5
El Salvador;2020-03-24;    5;  2;  0; 0;    0;  0;    5;   2;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  6;  0;173,0
El Salvador;2020-03-25;    9;  4;  0; 0;    0;  0;    9;   4;2020;marzec;25;środa;0,0000;0,0000;1,0000;  7;  0;170,5
El Salvador;2020-03-26;   13;  4;  0; 0;    0;  0;   13;   4;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  8;  0;170,5
El Salvador;2020-03-27;   13;  0;  0; 0;    0;  0;   13;   0;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  9;  0;179,5
El Salvador;2020-03-28;   19;  6;  0; 0;    0;  0;   19;   6;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 10;  0;165,0
El Salvador;2020-03-29;   24;  5;  0; 0;    0;  0;   24;   5;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 11;  0;168,0
El Salvador;2020-03-30;   30;  6;  0; 0;    0;  0;   30;   6;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 12;  0;165,0
El Salvador;2020-03-31;   32;  2;  1; 1;    0;  0;   31;   1;2020;marzec;31;wtorek;0,0312;0,0000;0,9688; 13;  0;173,0
El Salvador;2020-04-01;   32;  0;  1; 0;    0;  0;   31;   0;2020;kwiecień; 1;środa;0,0312;0,0000;0,9688; 14;  0;179,5
El Salvador;2020-04-02;   41;  9;  2; 1;    0;  0;   39;   8;2020;kwiecień; 2;czwartek;0,0488;0,0000;0,9512; 15;  0;159,5
El Salvador;2020-04-03;   46;  5;  2; 0;    0;  0;   44;   5;2020;kwiecień; 3;piątek;0,0435;0,0000;0,9565; 16;  0;168,0
El Salvador;2020-04-04;   56; 10;  3; 1;    2;  2;   51;   7;2020;kwiecień; 4;sobota;0,0536;0,0357;0,9107; 17;  0;157,0
El Salvador;2020-04-05;   62;  6;  3; 0;    2;  0;   57;   6;2020;kwiecień; 5;niedziela;0,0484;0,0323;0,9194; 18;  0;165,0
El Salvador;2020-04-06;   69;  7;  4; 1;    5;  3;   60;   3;2020;kwiecień; 6;poniedziałek;0,0580;0,0725;0,8696; 19;  0;162,0
El Salvador;2020-04-07;   78;  9;  4; 0;    5;  0;   69;   9;2020;kwiecień; 7;wtorek;0,0513;0,0641;0,8846; 20;  0;159,5
El Salvador;2020-04-08;   93; 15;  5; 1;    9;  4;   79;  10;2020;kwiecień; 8;środa;0,0538;0,0968;0,8495; 21;  0;147,0
El Salvador;2020-04-09;  103; 10;  6; 1;   14;  5;   83;   4;2020;kwiecień; 9;czwartek;0,0583;0,1359;0,8058; 22;  1;157,0
El Salvador;2020-04-10;  117; 14;  6; 0;   15;  1;   96;  13;2020;kwiecień;10;piątek;0,0513;0,1282;0,8205; 23;  2;148,0
El Salvador;2020-04-11;  118;  1;  6; 0;   19;  4;   93;  -3;2020;kwiecień;11;sobota;0,0508;0,1610;0,7881; 24;  3;175,5
El Salvador;2020-04-12;  125;  7;  6; 0;   21;  2;   98;   5;2020;kwiecień;12;niedziela;0,0480;0,1680;0,7840; 25;  4;162,0
El Salvador;2020-04-13;  137; 12;  6; 0;   22;  1;  109;  11;2020;kwiecień;13;poniedziałek;0,0438;0,1606;0,7956; 26;  5;153,0
El Salvador;2020-04-14;  149; 12;  6; 0;   25;  3;  118;   9;2020;kwiecień;14;wtorek;0,0403;0,1678;0,7919; 27;  6;153,0
El Salvador;2020-04-15;  159; 10;  6; 0;   30;  5;  123;   5;2020;kwiecień;15;środa;0,0377;0,1887;0,7736; 28;  7;157,0
El Salvador;2020-04-16;  164;  5;  6; 0;   33;  3;  125;   2;2020;kwiecień;16;czwartek;0,0366;0,2012;0,7622; 29;  8;168,0
El Salvador;2020-04-17;  177; 13;  7; 1;   38;  5;  132;   7;2020;kwiecień;17;piątek;0,0395;0,2147;0,7458; 30;  9;150,0
El Salvador;2020-04-18;  190; 13;  7; 0;   43;  5;  140;   8;2020;kwiecień;18;sobota;0,0368;0,2263;0,7368; 31; 10;150,0
El Salvador;2020-04-19;  201; 11;  7; 0;   44;  1;  150;  10;2020;kwiecień;19;niedziela;0,0348;0,2189;0,7463; 32; 11;155,0
El Salvador;2020-04-20;  218; 17;  7; 0;   46;  2;  165;  15;2020;kwiecień;20;poniedziałek;0,0321;0,2110;0,7569; 33; 12;146,0
El Salvador;2020-04-21;  225;  7;  7; 0;   48;  2;  170;   5;2020;kwiecień;21;wtorek;0,0311;0,2133;0,7556; 34; 13;162,0
El Salvador;2020-04-22;  237; 12;  7; 0;   63; 15;  167;  -3;2020;kwiecień;22;środa;0,0295;0,2658;0,7046; 35; 14;153,0
El Salvador;2020-04-23;  250; 13;  8; 1;   67;  4;  175;   8;2020;kwiecień;23;czwartek;0,0320;0,2680;0,7000; 36; 15;150,0
El Salvador;2020-04-24;  274; 24;  8; 0;   75;  8;  191;  16;2020;kwiecień;24;piątek;0,0292;0,2737;0,6971; 37; 16;141,5
El Salvador;2020-04-25;  274;  0;  8; 0;   75;  0;  191;   0;2020;kwiecień;25;sobota;0,0292;0,2737;0,6971; 38; 17;179,5
El Salvador;2020-04-26;  298; 24;  8; 0;   83;  8;  207;  16;2020;kwiecień;26;niedziela;0,0268;0,2785;0,6946; 39; 18;141,5
El Salvador;2020-04-27;  323; 25;  8; 0;   89;  6;  226;  19;2020;kwiecień;27;poniedziałek;0,0248;0,2755;0,6997; 40; 19;140,0
El Salvador;2020-04-28;  345; 22;  8; 0;   97;  8;  240;  14;2020;kwiecień;28;wtorek;0,0232;0,2812;0,6957; 41; 20;143,5
El Salvador;2020-04-29;  377; 32;  9; 1;  106;  9;  262;  22;2020;kwiecień;29;środa;0,0239;0,2812;0,6950; 42; 21;137,5
El Salvador;2020-04-30;  395; 18; 10; 1;  119; 13;  266;   4;2020;kwiecień;30;czwartek;0,0253;0,3013;0,6734; 43; 22;145,0
El Salvador;2020-05-01;  424; 29; 10; 0;  124;  5;  290;  24;2020;maj; 1;piątek;0,0236;0,2925;0,6840; 44; 23;139,0
