Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Cameroon;2020-03-06;    1;   1;  0; 0;    0;   0;   1;    1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  1;  0;102,5
Cameroon;2020-03-07;    1;   0;  0; 0;    0;   0;   1;    0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  2;  0;160,5
Cameroon;2020-03-08;    2;   1;  0; 0;    0;   0;   2;    1;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  3;  0;102,5
Cameroon;2020-03-09;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  4;  0;160,5
Cameroon;2020-03-10;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  5;  0;160,5
Cameroon;2020-03-11;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;11;środa;0,0000;0,0000;1,0000;  6;  0;160,5
Cameroon;2020-03-12;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  7;  0;160,5
Cameroon;2020-03-13;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  8;  0;160,5
Cameroon;2020-03-14;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  9;  0;160,5
Cameroon;2020-03-15;    2;   0;  0; 0;    0;   0;   2;    0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 10;  0;160,5
Cameroon;2020-03-16;    4;   2;  0; 0;    0;   0;   4;    2;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 11;  0;100,5
Cameroon;2020-03-17;   10;   6;  0; 0;    0;   0;  10;    6;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 12;  0; 98,0
Cameroon;2020-03-18;   10;   0;  0; 0;    0;   0;  10;    0;2020;marzec;18;środa;0,0000;0,0000;1,0000; 13;  0;160,5
Cameroon;2020-03-19;   13;   3;  0; 0;    0;   0;  13;    3;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 14;  0; 99,0
Cameroon;2020-03-20;   20;   7;  0; 0;    0;   0;  20;    7;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 15;  0; 96,0
Cameroon;2020-03-21;   27;   7;  0; 0;    0;   0;  27;    7;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 16;  0; 96,0
Cameroon;2020-03-22;   40;  13;  0; 0;    0;   0;  40;   13;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 17;  0; 91,0
Cameroon;2020-03-23;   56;  16;  0; 0;    0;   0;  56;   16;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 18;  0; 89,5
Cameroon;2020-03-24;   66;  10;  0; 0;    0;   0;  66;   10;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 19;  0; 92,0
Cameroon;2020-03-25;   75;   9;  1; 1;    2;   2;  72;    6;2020;marzec;25;środa;0,0133;0,0267;0,9600; 20;  0; 93,0
Cameroon;2020-03-26;   75;   0;  1; 0;    2;   0;  72;    0;2020;marzec;26;czwartek;0,0133;0,0267;0,9600; 21;  0;160,5
Cameroon;2020-03-27;   91;  16;  2; 1;    2;   0;  87;   15;2020;marzec;27;piątek;0,0220;0,0220;0,9560; 22;  0; 89,5
Cameroon;2020-03-28;   91;   0;  2; 0;    2;   0;  87;    0;2020;marzec;28;sobota;0,0220;0,0220;0,9560; 23;  0;160,5
Cameroon;2020-03-29;  139;  48;  6; 4;    5;   3; 128;   41;2020;marzec;29;niedziela;0,0432;0,0360;0,9209; 24;  1; 76,0
