Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Saint Lucia;2020-03-14; 1;1;0;0; 0;0; 1; 1;2020;marzec;14;sobota;0;0,0000;1,0000; 1;0
Saint Lucia;2020-03-15; 2;1;0;0; 0;0; 2; 1;2020;marzec;15;niedziela;0;0,0000;1,0000; 2;0
Saint Lucia;2020-03-16; 2;0;0;0; 0;0; 2; 0;2020;marzec;16;poniedziałek;0;0,0000;1,0000; 3;0
Saint Lucia;2020-03-17; 2;0;0;0; 0;0; 2; 0;2020;marzec;17;wtorek;0;0,0000;1,0000; 4;0
Saint Lucia;2020-03-18; 2;0;0;0; 0;0; 2; 0;2020;marzec;18;środa;0;0,0000;1,0000; 5;0
Saint Lucia;2020-03-19; 2;0;0;0; 0;0; 2; 0;2020;marzec;19;czwartek;0;0,0000;1,0000; 6;0
Saint Lucia;2020-03-20; 2;0;0;0; 0;0; 2; 0;2020;marzec;20;piątek;0;0,0000;1,0000; 7;0
Saint Lucia;2020-03-21; 2;0;0;0; 0;0; 2; 0;2020;marzec;21;sobota;0;0,0000;1,0000; 8;0
Saint Lucia;2020-03-22; 2;0;0;0; 0;0; 2; 0;2020;marzec;22;niedziela;0;0,0000;1,0000; 9;0
Saint Lucia;2020-03-23; 3;1;0;0; 0;0; 3; 1;2020;marzec;23;poniedziałek;0;0,0000;1,0000;10;0
Saint Lucia;2020-03-24; 3;0;0;0; 0;0; 3; 0;2020;marzec;24;wtorek;0;0,0000;1,0000;11;0
Saint Lucia;2020-03-25; 3;0;0;0; 0;0; 3; 0;2020;marzec;25;środa;0;0,0000;1,0000;12;0
Saint Lucia;2020-03-26; 3;0;0;0; 0;0; 3; 0;2020;marzec;26;czwartek;0;0,0000;1,0000;13;0
Saint Lucia;2020-03-27; 3;0;0;0; 1;1; 2;-1;2020;marzec;27;piątek;0;0,3333;0,6667;14;0
Saint Lucia;2020-03-28; 3;0;0;0; 1;0; 2; 0;2020;marzec;28;sobota;0;0,3333;0,6667;15;0
Saint Lucia;2020-03-29; 9;6;0;0; 1;0; 8; 6;2020;marzec;29;niedziela;0;0,1111;0,8889;16;0
Saint Lucia;2020-03-30; 9;0;0;0; 1;0; 8; 0;2020;marzec;30;poniedziałek;0;0,1111;0,8889;17;0
Saint Lucia;2020-03-31;13;4;0;0; 1;0;12; 4;2020;marzec;31;wtorek;0;0,0769;0,9231;18;0
Saint Lucia;2020-04-01;13;0;0;0; 1;0;12; 0;2020;kwiecień; 1;środa;0;0,0769;0,9231;19;0
Saint Lucia;2020-04-02;13;0;0;0; 1;0;12; 0;2020;kwiecień; 2;czwartek;0;0,0769;0,9231;20;0
Saint Lucia;2020-04-03;13;0;0;0; 1;0;12; 0;2020;kwiecień; 3;piątek;0;0,0769;0,9231;21;0
Saint Lucia;2020-04-04;14;1;0;0; 1;0;13; 1;2020;kwiecień; 4;sobota;0;0,0714;0,9286;22;0
Saint Lucia;2020-04-05;14;0;0;0; 1;0;13; 0;2020;kwiecień; 5;niedziela;0;0,0714;0,9286;23;0
Saint Lucia;2020-04-06;14;0;0;0; 1;0;13; 0;2020;kwiecień; 6;poniedziałek;0;0,0714;0,9286;24;0
Saint Lucia;2020-04-07;14;0;0;0; 1;0;13; 0;2020;kwiecień; 7;wtorek;0;0,0714;0,9286;25;0
Saint Lucia;2020-04-08;14;0;0;0; 1;0;13; 0;2020;kwiecień; 8;środa;0;0,0714;0,9286;26;0
Saint Lucia;2020-04-09;14;0;0;0; 1;0;13; 0;2020;kwiecień; 9;czwartek;0;0,0714;0,9286;27;0
Saint Lucia;2020-04-10;15;1;0;0; 1;0;14; 1;2020;kwiecień;10;piątek;0;0,0667;0,9333;28;0
Saint Lucia;2020-04-11;15;0;0;0; 1;0;14; 0;2020;kwiecień;11;sobota;0;0,0667;0,9333;29;0
Saint Lucia;2020-04-12;15;0;0;0; 4;3;11;-3;2020;kwiecień;12;niedziela;0;0,2667;0,7333;30;0
Saint Lucia;2020-04-13;15;0;0;0; 4;0;11; 0;2020;kwiecień;13;poniedziałek;0;0,2667;0,7333;31;0
Saint Lucia;2020-04-14;15;0;0;0;11;7; 4;-7;2020;kwiecień;14;wtorek;0;0,7333;0,2667;32;0
Saint Lucia;2020-04-15;15;0;0;0;11;0; 4; 0;2020;kwiecień;15;środa;0;0,7333;0,2667;33;0
Saint Lucia;2020-04-16;15;0;0;0;11;0; 4; 0;2020;kwiecień;16;czwartek;0;0,7333;0,2667;34;0
Saint Lucia;2020-04-17;15;0;0;0;11;0; 4; 0;2020;kwiecień;17;piątek;0;0,7333;0,2667;35;0
Saint Lucia;2020-04-18;15;0;0;0;11;0; 4; 0;2020;kwiecień;18;sobota;0;0,7333;0,2667;36;0
