Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Liechtenstein;2020-03-04;   1; 1; 0;0;   0; 0;  1;  1;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  1;  0; 90,0;144,5;176,0; 60,0
Liechtenstein;2020-03-05;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  2;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-06;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  3;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-07;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  4;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-08;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  5;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-09;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  6;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-10;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  7;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-11;   1; 0; 0;0;   0; 0;  1;  0;2020;marzec;11;środa;0,0000;0,0000;1,0000;  8;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-12;   1; 0; 0;0;   1; 1;  0; -1;2020;marzec;12;czwartek;0,0000;1,0000;0,0000;  9;  0;191,0;144,5; 69,0;235,5
Liechtenstein;2020-03-13;   1; 0; 0;0;   1; 0;  0;  0;2020;marzec;13;piątek;0,0000;1,0000;0,0000; 10;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-14;   4; 3; 0;0;   1; 0;  3;  3;2020;marzec;14;sobota;0,0000;0,2500;0,7500; 11;  0; 63,5;144,5;176,0; 39,5
Liechtenstein;2020-03-15;   4; 0; 0;0;   1; 0;  3;  0;2020;marzec;15;niedziela;0,0000;0,2500;0,7500; 12;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-16;   4; 0; 0;0;   1; 0;  3;  0;2020;marzec;16;poniedziałek;0,0000;0,2500;0,7500; 13;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-17;   7; 3; 0;0;   1; 0;  6;  3;2020;marzec;17;wtorek;0,0000;0,1429;0,8571; 14;  0; 63,5;144,5;176,0; 39,5
Liechtenstein;2020-03-18;  28;21; 0;0;   1; 0; 27; 21;2020;marzec;18;środa;0,0000;0,0357;0,9643; 15;  0; 31,0;144,5;176,0; 11,0
Liechtenstein;2020-03-19;  28; 0; 0;0;   1; 0; 27;  0;2020;marzec;19;czwartek;0,0000;0,0357;0,9643; 16;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-20;  28; 0; 0;0;   1; 0; 27;  0;2020;marzec;20;piątek;0,0000;0,0357;0,9643; 17;  0;191,0;144,5;176,0;151,0
Liechtenstein;2020-03-21;  37; 9; 0;0;   4; 3; 33;  6;2020;marzec;21;sobota;0,0000;0,1081;0,8919; 18;  0; 48,0;144,5; 49,0; 29,0
Liechtenstein;2020-03-22;  37; 0; 0;0;   4; 0; 33;  0;2020;marzec;22;niedziela;0,0000;0,1081;0,8919; 19;  0;191,0;144,5;176,0;151,0
