Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Central African Republic;2020-03-15;   1;  1; 0;0;   0;   0;   1;    1;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  1;  0;166,0;254,5;275,0;130,0
Central African Republic;2020-03-16;   1;  0; 0;0;   0;   0;   1;    0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  2;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-17;   1;  0; 0;0;   0;   0;   1;    0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  3;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-18;   1;  0; 0;0;   0;   0;   1;    0;2020;marzec;18;środa;0,0000;0,0000;1,0000;  4;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-19;   1;  0; 0;0;   0;   0;   1;    0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  5;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-20;   3;  2; 0;0;   0;   0;   3;    2;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  6;  0;151,0;254,5;275,0;117,5
Central African Republic;2020-03-21;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  7;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-22;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  8;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-23;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  9;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-24;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 10;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-25;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 11;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-26;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 12;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-27;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 13;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-28;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 14;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-29;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 15;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-30;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 16;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-03-31;   3;  0; 0;0;   0;   0;   3;    0;2020;marzec;31;wtorek;0,0000;0,0000;1,0000; 17;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-01;   3;  0; 0;0;   0;   0;   3;    0;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000; 18;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-02;   3;  0; 0;0;   0;   0;   3;    0;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000; 19;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-03;   8;  5; 0;0;   0;   0;   8;    5;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000; 20;  0;122,5;254,5;275,0; 94,5
Central African Republic;2020-04-04;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000; 21;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-05;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000; 22;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-06;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000; 23;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-07;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 7;wtorek;0,0000;0,0000;1,0000; 24;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-08;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 8;środa;0,0000;0,0000;1,0000; 25;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-09;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień; 9;czwartek;0,0000;0,0000;1,0000; 26;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-10;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień;10;piątek;0,0000;0,0000;1,0000; 27;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-11;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień;11;sobota;0,0000;0,0000;1,0000; 28;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-12;   8;  0; 0;0;   0;   0;   8;    0;2020;kwiecień;12;niedziela;0,0000;0,0000;1,0000; 29;  0;320,0;254,5;275,0;283,0
Central African Republic;2020-04-13;  11;  3; 0;0;   3;   3;   8;    0;2020;kwiecień;13;poniedziałek;0,0000;0,2727;0,7273; 30;  0;140,0;254,5; 73,0;283,0
