Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Angola;2020-03-20; 1;1;0;0; 0;0; 1; 1;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 1;0
Angola;2020-03-21; 2;1;0;0; 0;0; 2; 1;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 2;0
Angola;2020-03-22; 2;0;0;0; 0;0; 2; 0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 3;0
Angola;2020-03-23; 3;1;0;0; 0;0; 3; 1;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 4;0
Angola;2020-03-24; 3;0;0;0; 0;0; 3; 0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 5;0
Angola;2020-03-25; 3;0;0;0; 0;0; 3; 0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 6;0
Angola;2020-03-26; 4;1;0;0; 0;0; 4; 1;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 7;0
Angola;2020-03-27; 4;0;0;0; 0;0; 4; 0;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 8;0
Angola;2020-03-28; 5;1;0;0; 0;0; 5; 1;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 9;0
Angola;2020-03-29; 7;2;2;2; 0;0; 5; 0;2020;marzec;29;niedziela;0,2857;0,0000;0,7143;10;0
Angola;2020-03-30; 7;0;2;0; 0;0; 5; 0;2020;marzec;30;poniedziałek;0,2857;0,0000;0,7143;11;0
Angola;2020-03-31; 7;0;2;0; 1;1; 4;-1;2020;marzec;31;wtorek;0,2857;0,1429;0,5714;12;0
Angola;2020-04-01; 8;1;2;0; 1;0; 5; 1;2020;kwiecień; 1;środa;0,2500;0,1250;0,6250;13;0
Angola;2020-04-02; 8;0;2;0; 1;0; 5; 0;2020;kwiecień; 2;czwartek;0,2500;0,1250;0,6250;14;0
Angola;2020-04-03; 8;0;2;0; 1;0; 5; 0;2020;kwiecień; 3;piątek;0,2500;0,1250;0,6250;15;0
Angola;2020-04-04;10;2;2;0; 2;1; 6; 1;2020;kwiecień; 4;sobota;0,2000;0,2000;0,6000;16;0
Angola;2020-04-05;14;4;2;0; 2;0;10; 4;2020;kwiecień; 5;niedziela;0,1429;0,1429;0,7143;17;0
Angola;2020-04-06;16;2;2;0; 2;0;12; 2;2020;kwiecień; 6;poniedziałek;0,1250;0,1250;0,7500;18;0
Angola;2020-04-07;17;1;2;0; 2;0;13; 1;2020;kwiecień; 7;wtorek;0,1176;0,1176;0,7647;19;0
Angola;2020-04-08;19;2;2;0; 2;0;15; 2;2020;kwiecień; 8;środa;0,1053;0,1053;0,7895;20;0
Angola;2020-04-09;19;0;2;0; 2;0;15; 0;2020;kwiecień; 9;czwartek;0,1053;0,1053;0,7895;21;0
Angola;2020-04-10;19;0;2;0; 2;0;15; 0;2020;kwiecień;10;piątek;0,1053;0,1053;0,7895;22;0
Angola;2020-04-11;19;0;2;0; 4;2;13;-2;2020;kwiecień;11;sobota;0,1053;0,2105;0,6842;23;0
Angola;2020-04-12;19;0;2;0; 4;0;13; 0;2020;kwiecień;12;niedziela;0,1053;0,2105;0,6842;24;0
Angola;2020-04-13;19;0;2;0; 4;0;13; 0;2020;kwiecień;13;poniedziałek;0,1053;0,2105;0,6842;25;0
Angola;2020-04-14;19;0;2;0; 5;1;12;-1;2020;kwiecień;14;wtorek;0,1053;0,2632;0,6316;26;0
Angola;2020-04-15;19;0;2;0; 5;0;12; 0;2020;kwiecień;15;środa;0,1053;0,2632;0,6316;27;0
Angola;2020-04-16;19;0;2;0; 5;0;12; 0;2020;kwiecień;16;czwartek;0,1053;0,2632;0,6316;28;0
Angola;2020-04-17;19;0;2;0; 5;0;12; 0;2020;kwiecień;17;piątek;0,1053;0,2632;0,6316;29;0
Angola;2020-04-18;24;5;2;0; 6;1;16; 4;2020;kwiecień;18;sobota;0,0833;0,2500;0,6667;30;0
Angola;2020-04-19;24;0;2;0; 6;0;16; 0;2020;kwiecień;19;niedziela;0,0833;0,2500;0,6667;31;0
Angola;2020-04-20;24;0;2;0; 6;0;16; 0;2020;kwiecień;20;poniedziałek;0,0833;0,2500;0,6667;32;0
Angola;2020-04-21;24;0;2;0; 6;0;16; 0;2020;kwiecień;21;wtorek;0,0833;0,2500;0,6667;33;0
Angola;2020-04-22;25;1;2;0; 6;0;17; 1;2020;kwiecień;22;środa;0,0800;0,2400;0,6800;34;0
Angola;2020-04-23;25;0;2;0; 6;0;17; 0;2020;kwiecień;23;czwartek;0,0800;0,2400;0,6800;35;0
Angola;2020-04-24;25;0;2;0; 6;0;17; 0;2020;kwiecień;24;piątek;0,0800;0,2400;0,6800;36;0
Angola;2020-04-25;25;0;2;0; 6;0;17; 0;2020;kwiecień;25;sobota;0,0800;0,2400;0,6800;37;0
Angola;2020-04-26;26;1;2;0; 6;0;18; 1;2020;kwiecień;26;niedziela;0,0769;0,2308;0,6923;38;0
Angola;2020-04-27;27;1;2;0; 6;0;19; 1;2020;kwiecień;27;poniedziałek;0,0741;0,2222;0,7037;39;0
Angola;2020-04-28;27;0;2;0; 6;0;19; 0;2020;kwiecień;28;wtorek;0,0741;0,2222;0,7037;40;0
Angola;2020-04-29;27;0;2;0; 7;1;18;-1;2020;kwiecień;29;środa;0,0741;0,2593;0,6667;41;0
Angola;2020-04-30;27;0;2;0; 7;0;18; 0;2020;kwiecień;30;czwartek;0,0741;0,2593;0,6667;42;0
Angola;2020-05-01;30;3;2;0;11;4;17;-1;2020;maj; 1;piątek;0,0667;0,3667;0,5667;43;0
