Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Bolivia;2020-03-11;     2;   2;   0;   0;    0;   0;    2;    2;2020;marzec;11;środa;0,0000;0,0000;1,0000;  1;  0;204,5
Bolivia;2020-03-12;     2;   0;   0;   0;    0;   0;    2;    0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  2;  0;210,5
Bolivia;2020-03-13;     3;   1;   0;   0;    0;   0;    3;    1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  3;  0;207,0
Bolivia;2020-03-14;    10;   7;   0;   0;    0;   0;   10;    7;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  4;  0;195,5
Bolivia;2020-03-15;    10;   0;   0;   0;    0;   0;   10;    0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  5;  0;210,5
Bolivia;2020-03-16;    11;   1;   0;   0;    0;   0;   11;    1;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  6;  0;207,0
Bolivia;2020-03-17;    11;   0;   0;   0;    0;   0;   11;    0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  7;  0;210,5
Bolivia;2020-03-18;    12;   1;   0;   0;    0;   0;   12;    1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  8;  0;207,0
Bolivia;2020-03-19;    12;   0;   0;   0;    0;   0;   12;    0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  9;  0;210,5
Bolivia;2020-03-20;    15;   3;   0;   0;    0;   0;   15;    3;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 10;  0;202,0
Bolivia;2020-03-21;    19;   4;   0;   0;    0;   0;   19;    4;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 11;  0;199,5
Bolivia;2020-03-22;    24;   5;   0;   0;    0;   0;   24;    5;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 12;  0;198,0
Bolivia;2020-03-23;    27;   3;   0;   0;    0;   0;   27;    3;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 13;  0;202,0
Bolivia;2020-03-24;    29;   2;   0;   0;    0;   0;   29;    2;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 14;  0;204,5
Bolivia;2020-03-25;    32;   3;   0;   0;    0;   0;   32;    3;2020;marzec;25;środa;0,0000;0,0000;1,0000; 15;  0;202,0
Bolivia;2020-03-26;    43;  11;   0;   0;    0;   0;   43;   11;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 16;  0;188,0
Bolivia;2020-03-27;    61;  18;   0;   0;    0;   0;   61;   18;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 17;  0;182,5
Bolivia;2020-03-28;    74;  13;   0;   0;    0;   0;   74;   13;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 18;  0;186,0
Bolivia;2020-03-29;    81;   7;   1;   1;    0;   0;   80;    6;2020;marzec;29;niedziela;0,0123;0,0000;0,9877; 19;  0;195,5
Bolivia;2020-03-30;    97;  16;   4;   3;    0;   0;   93;   13;2020;marzec;30;poniedziałek;0,0412;0,0000;0,9588; 20;  0;184,5
Bolivia;2020-03-31;   107;  10;   6;   2;    0;   0;  101;    8;2020;marzec;31;wtorek;0,0561;0,0000;0,9439; 21;  1;190,0
Bolivia;2020-04-01;   115;   8;   7;   1;    1;   1;  107;    6;2020;kwiecień; 1;środa;0,0609;0,0087;0,9304; 22;  2;192,5
Bolivia;2020-04-02;   123;   8;   8;   1;    1;   0;  114;    7;2020;kwiecień; 2;czwartek;0,0650;0,0081;0,9268; 23;  3;192,5
Bolivia;2020-04-03;   132;   9;   9;   1;    1;   0;  122;    8;2020;kwiecień; 3;piątek;0,0682;0,0076;0,9242; 24;  4;191,0
Bolivia;2020-04-04;   139;   7;  10;   1;    1;   0;  128;    6;2020;kwiecień; 4;sobota;0,0719;0,0072;0,9209; 25;  5;195,5
Bolivia;2020-04-05;   157;  18;  10;   0;    2;   1;  145;   17;2020;kwiecień; 5;niedziela;0,0637;0,0127;0,9236; 26;  6;182,5
Bolivia;2020-04-06;   183;  26;  11;   1;    2;   0;  170;   25;2020;kwiecień; 6;poniedziałek;0,0601;0,0109;0,9290; 27;  7;178,0
Bolivia;2020-04-07;   194;  11;  14;   3;    2;   0;  178;    8;2020;kwiecień; 7;wtorek;0,0722;0,0103;0,9175; 28;  8;188,0
Bolivia;2020-04-08;   210;  16;  15;   1;    2;   0;  193;   15;2020;kwiecień; 8;środa;0,0714;0,0095;0,9190; 29;  9;184,5
Bolivia;2020-04-09;   264;  54;  18;   3;    2;   0;  244;   51;2020;kwiecień; 9;czwartek;0,0682;0,0076;0,9242; 30; 10;169,0
Bolivia;2020-04-10;   268;   4;  19;   1;    2;   0;  247;    3;2020;kwiecień;10;piątek;0,0709;0,0075;0,9216; 31; 11;199,5
Bolivia;2020-04-11;   275;   7;  20;   1;    2;   0;  253;    6;2020;kwiecień;11;sobota;0,0727;0,0073;0,9200; 32; 12;195,5
Bolivia;2020-04-12;   300;  25;  24;   4;    2;   0;  274;   21;2020;kwiecień;12;niedziela;0,0800;0,0067;0,9133; 33; 13;179,0
Bolivia;2020-04-13;   330;  30;  27;   3;    2;   0;  301;   27;2020;kwiecień;13;poniedziałek;0,0818;0,0061;0,9121; 34; 14;175,0
Bolivia;2020-04-14;   354;  24;  28;   1;    6;   4;  320;   19;2020;kwiecień;14;wtorek;0,0791;0,0169;0,9040; 35; 15;180,5
Bolivia;2020-04-15;   397;  43;  28;   0;    7;   1;  362;   42;2020;kwiecień;15;środa;0,0705;0,0176;0,9118; 36; 16;172,0
Bolivia;2020-04-16;   441;  44;  29;   1;   14;   7;  398;   36;2020;kwiecień;16;czwartek;0,0658;0,0317;0,9025; 37; 17;170,5
Bolivia;2020-04-17;   465;  24;  31;   2;   26;  12;  408;   10;2020;kwiecień;17;piątek;0,0667;0,0559;0,8774; 38; 18;180,5
Bolivia;2020-04-18;   493;  28;  31;   0;   31;   5;  431;   23;2020;kwiecień;18;sobota;0,0629;0,0629;0,8742; 39; 19;176,0
Bolivia;2020-04-19;   520;  27;  32;   1;   31;   0;  457;   26;2020;kwiecień;19;niedziela;0,0615;0,0596;0,8788; 40; 20;177,0
Bolivia;2020-04-20;   564;  44;  33;   1;   31;   0;  500;   43;2020;kwiecień;20;poniedziałek;0,0585;0,0550;0,8865; 41; 21;170,5
Bolivia;2020-04-21;   598;  34;  34;   1;   37;   6;  527;   27;2020;kwiecień;21;wtorek;0,0569;0,0619;0,8813; 42; 22;174,0
Bolivia;2020-04-22;   609;  11;  37;   3;   44;   7;  528;    1;2020;kwiecień;22;środa;0,0608;0,0722;0,8670; 43; 23;188,0
Bolivia;2020-04-23;   703;  94;  43;   6;   44;   0;  616;   88;2020;kwiecień;23;czwartek;0,0612;0,0626;0,8762; 44; 24;160,0
Bolivia;2020-04-24;   807; 104;  44;   1;   54;  10;  709;   93;2020;kwiecień;24;piątek;0,0545;0,0669;0,8786; 45; 25;159,0
Bolivia;2020-04-25;   866;  59;  46;   2;   54;   0;  766;   57;2020;kwiecień;25;sobota;0,0531;0,0624;0,8845; 46; 26;166,0
Bolivia;2020-04-26;   950;  84;  50;   4;   80;  26;  820;   54;2020;kwiecień;26;niedziela;0,0526;0,0842;0,8632; 47; 27;162,5
Bolivia;2020-04-27;  1014;  64;  53;   3;   98;  18;  863;   43;2020;kwiecień;27;poniedziałek;0,0523;0,0966;0,8511; 48; 28;164,0
Bolivia;2020-04-28;  1053;  39;  55;   2;  110;  12;  888;   25;2020;kwiecień;28;wtorek;0,0522;0,1045;0,8433; 49; 29;173,0
Bolivia;2020-04-29;  1110;  57;  59;   4;  117;   7;  934;   46;2020;kwiecień;29;środa;0,0532;0,1054;0,8414; 50; 30;167,5
Bolivia;2020-04-30;  1167;  57;  62;   3;  132;  15;  973;   39;2020;kwiecień;30;czwartek;0,0531;0,1131;0,8338; 51; 31;167,5
Bolivia;2020-05-01;  1229;  62;  66;   4;  134;   2; 1029;   56;2020;maj; 1;piątek;0,0537;0,1090;0,8373; 52; 32;165,0
Bolivia;2020-05-02;  1470; 241;  71;   5;  159;  25; 1240;  211;2020;maj; 2;sobota;0,0483;0,1082;0,8435; 53; 33;143,0
Bolivia;2020-05-03;  1594; 124;  76;   5;  166;   7; 1352;  112;2020;maj; 3;niedziela;0,0477;0,1041;0,8482; 54; 34;156,0
Bolivia;2020-05-04;  1681;  87;  82;   6;  174;   8; 1425;   73;2020;maj; 4;poniedziałek;0,0488;0,1035;0,8477; 55; 35;161,0
Bolivia;2020-05-05;  1802; 121;  86;   4;  187;  13; 1529;  104;2020;maj; 5;wtorek;0,0477;0,1038;0,8485; 56; 36;157,0
Bolivia;2020-05-06;  1886;  84;  91;   5;  198;  11; 1597;   68;2020;maj; 6;środa;0,0483;0,1050;0,8468; 57; 37;162,5
Bolivia;2020-05-07;  2081; 195; 102;  11;  219;  21; 1760;  163;2020;maj; 7;czwartek;0,0490;0,1052;0,8457; 58; 38;150,0
Bolivia;2020-05-08;  2266; 185; 106;   4;  237;  18; 1923;  163;2020;maj; 8;piątek;0,0468;0,1046;0,8486; 59; 39;151,0
Bolivia;2020-05-09;  2437; 171; 114;   8;  258;  21; 2065;  142;2020;maj; 9;sobota;0,0468;0,1059;0,8474; 60; 40;154,0
Bolivia;2020-05-10;  2556; 119; 118;   4;  273;  15; 2165;  100;2020;maj;10;niedziela;0,0462;0,1068;0,8470; 61; 41;158,0
Bolivia;2020-05-11;  2831; 275; 122;   4;  299;  26; 2410;  245;2020;maj;11;poniedziałek;0,0431;0,1056;0,8513; 62; 42;138,0
Bolivia;2020-05-12;  2964; 133; 128;   6;  313;  14; 2523;  113;2020;maj;12;wtorek;0,0432;0,1056;0,8512; 63; 43;155,0
Bolivia;2020-05-13;  3148; 184; 142;  14;  339;  26; 2667;  144;2020;maj;13;środa;0,0451;0,1077;0,8472; 64; 44;152,0
Bolivia;2020-05-14;  3372; 224; 152;  10;  356;  17; 2864;  197;2020;maj;14;czwartek;0,0451;0,1056;0,8493; 65; 45;146,0
