Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Syria;2020-03-22;    1;  1;   0; 0;    0;  0;   1;   1;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  1;  0;390,0;403,5;415,5;286,0
Syria;2020-03-23;    1;  0;   0; 0;    0;  0;   1;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  2;  0;428,5;403,5;415,5;320,5
Syria;2020-03-24;    1;  0;   0; 0;    0;  0;   1;   0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  3;  0;428,5;403,5;415,5;320,5
Syria;2020-03-25;    5;  4;   0; 0;    0;  0;   5;   4;2020;marzec;25;środa;0,0000;0,0000;1,0000;  4;  0;374,5;403,5;415,5;268,5
Syria;2020-03-26;    5;  0;   0; 0;    0;  0;   5;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  5;  0;428,5;403,5;415,5;320,5
Syria;2020-03-27;    5;  0;   0; 0;    0;  0;   5;   0;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  6;  0;428,5;403,5;415,5;320,5
Syria;2020-03-28;    5;  0;   0; 0;    0;  0;   5;   0;2020;marzec;28;sobota;0,0000;0,0000;1,0000;  7;  0;428,5;403,5;415,5;320,5
Syria;2020-03-29;    9;  4;   1; 1;    0;  0;   8;   3;2020;marzec;29;niedziela;0,1111;0,0000;0,8889;  8;  0;374,5;337,0;415,5;274,5
Syria;2020-03-30;   10;  1;   2; 1;    0;  0;   8;   0;2020;marzec;30;poniedziałek;0,2000;0,0000;0,8000;  9;  0;390,0;337,0;415,5;320,5
Syria;2020-03-31;   10;  0;   2; 0;    0;  0;   8;   0;2020;marzec;31;wtorek;0,2000;0,0000;0,8000; 10;  0;428,5;403,5;415,5;320,5
Syria;2020-04-01;   10;  0;   2; 0;    0;  0;   8;   0;2020;kwiecień; 1;środa;0,2000;0,0000;0,8000; 11;  0;428,5;403,5;415,5;320,5
Syria;2020-04-02;   16;  6;   2; 0;    0;  0;  14;   6;2020;kwiecień; 2;czwartek;0,1250;0,0000;0,8750; 12;  0;369,0;403,5;415,5;259,0
Syria;2020-04-03;   16;  0;   2; 0;    0;  0;  14;   0;2020;kwiecień; 3;piątek;0,1250;0,0000;0,8750; 13;  0;428,5;403,5;415,5;320,5
Syria;2020-04-04;   16;  0;   2; 0;    2;  2;  12;  -2;2020;kwiecień; 4;sobota;0,1250;0,1250;0,7500; 14;  0;428,5;403,5;363,0;358,5
Syria;2020-04-05;   19;  3;   2; 0;    2;  0;  15;   3;2020;kwiecień; 5;niedziela;0,1053;0,1053;0,7895; 15;  0;378,0;403,5;415,5;274,5
Syria;2020-04-06;   19;  0;   2; 0;    2;  0;  15;   0;2020;kwiecień; 6;poniedziałek;0,1053;0,1053;0,7895; 16;  0;428,5;403,5;415,5;320,5
Syria;2020-04-07;   19;  0;   2; 0;    3;  1;  14;  -1;2020;kwiecień; 7;wtorek;0,1053;0,1579;0,7368; 17;  0;428,5;403,5;369,0;352,5
Syria;2020-04-08;   19;  0;   2; 0;    4;  1;  13;  -1;2020;kwiecień; 8;środa;0,1053;0,2105;0,6842; 18;  0;428,5;403,5;369,0;352,5
Syria;2020-04-09;   19;  0;   2; 0;    4;  0;  13;   0;2020;kwiecień; 9;czwartek;0,1053;0,2105;0,6842; 19;  0;428,5;403,5;415,5;320,5
Syria;2020-04-10;   19;  0;   2; 0;    4;  0;  13;   0;2020;kwiecień;10;piątek;0,1053;0,2105;0,6842; 20;  0;428,5;403,5;415,5;320,5
Syria;2020-04-11;   25;  6;   2; 0;    5;  1;  18;   5;2020;kwiecień;11;sobota;0,0800;0,2000;0,7200; 21;  0;369,0;403,5;369,0;263,5
Syria;2020-04-12;   25;  0;   2; 0;    5;  0;  18;   0;2020;kwiecień;12;niedziela;0,0800;0,2000;0,7200; 22;  0;428,5;403,5;415,5;320,5
Syria;2020-04-13;   25;  0;   2; 0;    5;  0;  18;   0;2020;kwiecień;13;poniedziałek;0,0800;0,2000;0,7200; 23;  0;428,5;403,5;415,5;320,5
Syria;2020-04-14;   29;  4;   2; 0;    5;  0;  22;   4;2020;kwiecień;14;wtorek;0,0690;0,1724;0,7586; 24;  0;374,5;403,5;415,5;268,5
Syria;2020-04-15;   33;  4;   2; 0;    5;  0;  26;   4;2020;kwiecień;15;środa;0,0606;0,1515;0,7879; 25;  0;374,5;403,5;415,5;268,5
Syria;2020-04-16;   33;  0;   2; 0;    5;  0;  26;   0;2020;kwiecień;16;czwartek;0,0606;0,1515;0,7879; 26;  0;428,5;403,5;415,5;320,5
Syria;2020-04-17;   38;  5;   2; 0;    5;  0;  31;   5;2020;kwiecień;17;piątek;0,0526;0,1316;0,8158; 27;  0;372,0;403,5;415,5;263,5
Syria;2020-04-18;   38;  0;   2; 0;    5;  0;  31;   0;2020;kwiecień;18;sobota;0,0526;0,1316;0,8158; 28;  0;428,5;403,5;415,5;320,5
Syria;2020-04-19;   39;  1;   3; 1;    5;  0;  31;   0;2020;kwiecień;19;niedziela;0,0769;0,1282;0,7949; 29;  0;390,0;337,0;415,5;320,5
Syria;2020-04-20;   39;  0;   3; 0;    5;  0;  31;   0;2020;kwiecień;20;poniedziałek;0,0769;0,1282;0,7949; 30;  0;428,5;403,5;415,5;320,5
Syria;2020-04-21;   42;  3;   3; 0;    6;  1;  33;   2;2020;kwiecień;21;wtorek;0,0714;0,1429;0,7857; 31;  0;378,0;403,5;369,0;279,0
Syria;2020-04-22;   42;  0;   3; 0;    6;  0;  33;   0;2020;kwiecień;22;środa;0,0714;0,1429;0,7857; 32;  0;428,5;403,5;415,5;320,5
Syria;2020-04-23;   42;  0;   3; 0;    6;  0;  33;   0;2020;kwiecień;23;czwartek;0,0714;0,1429;0,7857; 33;  0;428,5;403,5;415,5;320,5
Syria;2020-04-24;   42;  0;   3; 0;    6;  0;  33;   0;2020;kwiecień;24;piątek;0,0714;0,1429;0,7857; 34;  0;428,5;403,5;415,5;320,5
Syria;2020-04-25;   42;  0;   3; 0;   11;  5;  28;  -5;2020;kwiecień;25;sobota;0,0714;0,2619;0,6667; 35;  0;428,5;403,5;337,0;372,0
Syria;2020-04-26;   43;  1;   3; 0;   14;  3;  26;  -2;2020;kwiecień;26;niedziela;0,0698;0,3256;0,6047; 36;  0;390,0;403,5;355,5;358,5
Syria;2020-04-27;   43;  0;   3; 0;   19;  5;  21;  -5;2020;kwiecień;27;poniedziałek;0,0698;0,4419;0,4884; 37;  0;428,5;403,5;337,0;372,0
Syria;2020-04-28;   43;  0;   3; 0;   21;  2;  19;  -2;2020;kwiecień;28;wtorek;0,0698;0,4884;0,4419; 38;  0;428,5;403,5;363,0;358,5
Syria;2020-04-29;   43;  0;   3; 0;   21;  0;  19;   0;2020;kwiecień;29;środa;0,0698;0,4884;0,4419; 39;  0;428,5;403,5;415,5;320,5
Syria;2020-04-30;   43;  0;   3; 0;   21;  0;  19;   0;2020;kwiecień;30;czwartek;0,0698;0,4884;0,4419; 40;  0;428,5;403,5;415,5;320,5
Syria;2020-05-01;   44;  1;   3; 0;   27;  6;  14;  -5;2020;maj; 1;piątek;0,0682;0,6136;0,3182; 41;  0;390,0;403,5;323,5;372,0
Syria;2020-05-02;   44;  0;   3; 0;   27;  0;  14;   0;2020;maj; 2;sobota;0,0682;0,6136;0,3182; 42;  0;428,5;403,5;415,5;320,5
Syria;2020-05-03;   44;  0;   3; 0;   27;  0;  14;   0;2020;maj; 3;niedziela;0,0682;0,6136;0,3182; 43;  0;428,5;403,5;415,5;320,5
Syria;2020-05-04;   44;  0;   3; 0;   27;  0;  14;   0;2020;maj; 4;poniedziałek;0,0682;0,6136;0,3182; 44;  0;428,5;403,5;415,5;320,5
Syria;2020-05-05;   44;  0;   3; 0;   27;  0;  14;   0;2020;maj; 5;wtorek;0,0682;0,6136;0,3182; 45;  0;428,5;403,5;415,5;320,5
