Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Ecuador;2020-03-01;    6;    6;   0;  0;    0;    0;    6;     6;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000; 1; 0
Ecuador;2020-03-02;    6;    0;   0;  0;    0;    0;    6;     0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000; 2; 0
Ecuador;2020-03-03;    7;    1;   0;  0;    0;    0;    7;     1;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000; 3; 0
Ecuador;2020-03-04;   10;    3;   0;  0;    0;    0;   10;     3;2020;marzec; 4;środa;0,0000;0,0000;1,0000; 4; 0
Ecuador;2020-03-05;   13;    3;   0;  0;    0;    0;   13;     3;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000; 5; 0
Ecuador;2020-03-06;   13;    0;   0;  0;    0;    0;   13;     0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000; 6; 0
Ecuador;2020-03-07;   13;    0;   0;  0;    0;    0;   13;     0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000; 7; 0
Ecuador;2020-03-08;   14;    1;   0;  0;    0;    0;   14;     1;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 8; 0
Ecuador;2020-03-09;   15;    1;   0;  0;    0;    0;   15;     1;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 9; 0
Ecuador;2020-03-10;   15;    0;   0;  0;    0;    0;   15;     0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;10; 0
Ecuador;2020-03-11;   17;    2;   0;  0;    0;    0;   17;     2;2020;marzec;11;środa;0,0000;0,0000;1,0000;11; 0
Ecuador;2020-03-12;   17;    0;   0;  0;    0;    0;   17;     0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;12; 0
Ecuador;2020-03-13;   17;    0;   0;  0;    0;    0;   17;     0;2020;marzec;13;piątek;0,0000;0,0000;1,0000;13; 0
Ecuador;2020-03-14;   28;   11;   2;  2;    0;    0;   26;     9;2020;marzec;14;sobota;0,0714;0,0000;0,9286;14; 0
Ecuador;2020-03-15;   28;    0;   2;  0;    0;    0;   26;     0;2020;marzec;15;niedziela;0,0714;0,0000;0,9286;15; 0
Ecuador;2020-03-16;   37;    9;   2;  0;    0;    0;   35;     9;2020;marzec;16;poniedziałek;0,0541;0,0000;0,9459;16; 0
Ecuador;2020-03-17;   58;   21;   2;  0;    0;    0;   56;    21;2020;marzec;17;wtorek;0,0345;0,0000;0,9655;17; 0
Ecuador;2020-03-18;  111;   53;   2;  0;    0;    0;  109;    53;2020;marzec;18;środa;0,0180;0,0000;0,9820;18; 1
Ecuador;2020-03-19;  199;   88;   3;  1;    0;    0;  196;    87;2020;marzec;19;czwartek;0,0151;0,0000;0,9849;19; 2
Ecuador;2020-03-20;  367;  168;   5;  2;    0;    0;  362;   166;2020;marzec;20;piątek;0,0136;0,0000;0,9864;20; 3
Ecuador;2020-03-21;  506;  139;   7;  2;    3;    3;  496;   134;2020;marzec;21;sobota;0,0138;0,0059;0,9802;21; 4
Ecuador;2020-03-22;  789;  283;  14;  7;    3;    0;  772;   276;2020;marzec;22;niedziela;0,0177;0,0038;0,9785;22; 5
Ecuador;2020-03-23;  981;  192;  18;  4;    3;    0;  960;   188;2020;marzec;23;poniedziałek;0,0183;0,0031;0,9786;23; 6
Ecuador;2020-03-24; 1082;  101;  27;  9;    3;    0; 1052;    92;2020;marzec;24;wtorek;0,0250;0,0028;0,9723;24; 7
Ecuador;2020-03-25; 1173;   91;  28;  1;    3;    0; 1142;    90;2020;marzec;25;środa;0,0239;0,0026;0,9736;25; 8
Ecuador;2020-03-26; 1403;  230;  34;  6;    3;    0; 1366;   224;2020;marzec;26;czwartek;0,0242;0,0021;0,9736;26; 9
Ecuador;2020-03-27; 1595;  192;  36;  2;    3;    0; 1556;   190;2020;marzec;27;piątek;0,0226;0,0019;0,9755;27;10
Ecuador;2020-03-28; 1823;  228;  48; 12;    3;    0; 1772;   216;2020;marzec;28;sobota;0,0263;0,0016;0,9720;28;11
Ecuador;2020-03-29; 1924;  101;  58; 10;    3;    0; 1863;    91;2020;marzec;29;niedziela;0,0301;0,0016;0,9683;29;12
Ecuador;2020-03-30; 1962;   38;  60;  2;    3;    0; 1899;    36;2020;marzec;30;poniedziałek;0,0306;0,0015;0,9679;30;13
Ecuador;2020-03-31; 2240;  278;  75; 15;   54;   51; 2111;   212;2020;marzec;31;wtorek;0,0335;0,0241;0,9424;31;14
Ecuador;2020-04-01; 2748;  508;  93; 18;   58;    4; 2597;   486;2020;kwiecień; 1;środa;0,0338;0,0211;0,9451;32;15
Ecuador;2020-04-02; 3163;  415; 120; 27;   65;    7; 2978;   381;2020;kwiecień; 2;czwartek;0,0379;0,0206;0,9415;33;16
Ecuador;2020-04-03; 3368;  205; 145; 25;   65;    0; 3158;   180;2020;kwiecień; 3;piątek;0,0431;0,0193;0,9376;34;17
Ecuador;2020-04-04; 3465;   97; 172; 27;  100;   35; 3193;    35;2020;kwiecień; 4;sobota;0,0496;0,0289;0,9215;35;18
Ecuador;2020-04-05; 3646;  181; 180;  8;  100;    0; 3366;   173;2020;kwiecień; 5;niedziela;0,0494;0,0274;0,9232;36;19
Ecuador;2020-04-06; 3747;  101; 191; 11;  100;    0; 3456;    90;2020;kwiecień; 6;poniedziałek;0,0510;0,0267;0,9223;37;20
Ecuador;2020-04-07; 3747;    0; 191;  0;  100;    0; 3456;     0;2020;kwiecień; 7;wtorek;0,0510;0,0267;0,9223;38;21
Ecuador;2020-04-08; 4450;  703; 242; 51;  140;   40; 4068;   612;2020;kwiecień; 8;środa;0,0544;0,0315;0,9142;39;22
Ecuador;2020-04-09; 4965;  515; 272; 30;  339;  199; 4354;   286;2020;kwiecień; 9;czwartek;0,0548;0,0683;0,8769;40;23
Ecuador;2020-04-10; 7161; 2196; 297; 25;  368;   29; 6496;  2142;2020;kwiecień;10;piątek;0,0415;0,0514;0,9071;41;24
Ecuador;2020-04-11; 7257;   96; 315; 18;  411;   43; 6531;    35;2020;kwiecień;11;sobota;0,0434;0,0566;0,9000;42;25
Ecuador;2020-04-12; 7466;  209; 333; 18;  501;   90; 6632;   101;2020;kwiecień;12;niedziela;0,0446;0,0671;0,8883;43;26
