Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Jordan;2020-03-03;   1;   1; 0;0;   0;  0;   1;   1;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  1;  0;178,5
Jordan;2020-03-04;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  2;  0;189,5
Jordan;2020-03-05;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  3;  0;189,5
Jordan;2020-03-06;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  4;  0;189,5
Jordan;2020-03-07;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  5;  0;189,5
Jordan;2020-03-08;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  6;  0;189,5
Jordan;2020-03-09;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  7;  0;189,5
Jordan;2020-03-10;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  8;  0;189,5
Jordan;2020-03-11;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec;11;środa;0,0000;0,0000;1,0000;  9;  0;189,5
Jordan;2020-03-12;   1;   0; 0;0;   0;  0;   1;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 10;  0;189,5
Jordan;2020-03-13;   1;   0; 0;0;   1;  1;   0;  -1;2020;marzec;13;piątek;0,0000;1,0000;0,0000; 11;  0;189,5
Jordan;2020-03-14;   1;   0; 0;0;   1;  0;   0;   0;2020;marzec;14;sobota;0,0000;1,0000;0,0000; 12;  0;189,5
Jordan;2020-03-15;   8;   7; 0;0;   1;  0;   7;   7;2020;marzec;15;niedziela;0,0000;0,1250;0,8750; 13;  0;109,5
Jordan;2020-03-16;  17;   9; 0;0;   1;  0;  16;   9;2020;marzec;16;poniedziałek;0,0000;0,0588;0,9412; 14;  0; 94,0
Jordan;2020-03-17;  34;  17; 0;0;   1;  0;  33;  17;2020;marzec;17;wtorek;0,0000;0,0294;0,9706; 15;  0; 57,0
