Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Jamaica;2020-03-11;   1;  1;  0;0;   0;  0;   1;   1;2020;marzec;11;środa;0,0000;0,0000;1,0000;  1;  0;176,5
Jamaica;2020-03-12;   2;  1;  0;0;   0;  0;   2;   1;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  2;  0;176,5
Jamaica;2020-03-13;   8;  6;  0;0;   0;  0;   8;   6;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  3;  0;105,5
Jamaica;2020-03-14;   8;  0;  0;0;   0;  0;   8;   0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  4;  0;197,5
Jamaica;2020-03-15;  10;  2;  0;0;   0;  0;  10;   2;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  5;  0;159,0
Jamaica;2020-03-16;  10;  0;  0;0;   2;  2;   8;  -2;2020;marzec;16;poniedziałek;0,0000;0,2000;0,8000;  6;  0;197,5
Jamaica;2020-03-17;  12;  2;  0;0;   2;  0;  10;   2;2020;marzec;17;wtorek;0,0000;0,1667;0,8333;  7;  0;159,0
Jamaica;2020-03-18;  13;  1;  0;0;   2;  0;  11;   1;2020;marzec;18;środa;0,0000;0,1538;0,8462;  8;  0;176,5
Jamaica;2020-03-19;  15;  2;  1;1;   2;  0;  12;   1;2020;marzec;19;czwartek;0,0667;0,1333;0,8000;  9;  0;159,0
Jamaica;2020-03-20;  16;  1;  1;0;   2;  0;  13;   1;2020;marzec;20;piątek;0,0625;0,1250;0,8125; 10;  0;176,5
Jamaica;2020-03-21;  16;  0;  1;0;   2;  0;  13;   0;2020;marzec;21;sobota;0,0625;0,1250;0,8125; 11;  0;197,5
Jamaica;2020-03-22;  19;  3;  1;0;   2;  0;  16;   3;2020;marzec;22;niedziela;0,0526;0,1053;0,8421; 12;  0;144,0
Jamaica;2020-03-23;  19;  0;  1;0;   2;  0;  16;   0;2020;marzec;23;poniedziałek;0,0526;0,1053;0,8421; 13;  0;197,5
Jamaica;2020-03-24;  21;  2;  1;0;   2;  0;  18;   2;2020;marzec;24;wtorek;0,0476;0,0952;0,8571; 14;  0;159,0
Jamaica;2020-03-25;  26;  5;  1;0;   2;  0;  23;   5;2020;marzec;25;środa;0,0385;0,0769;0,8846; 15;  0;122,5
Jamaica;2020-03-26;  26;  0;  1;0;   2;  0;  23;   0;2020;marzec;26;czwartek;0,0385;0,0769;0,8846; 16;  0;197,5
Jamaica;2020-03-27;  26;  0;  1;0;   2;  0;  23;   0;2020;marzec;27;piątek;0,0385;0,0769;0,8846; 17;  0;197,5
Jamaica;2020-03-28;  30;  4;  1;0;   2;  0;  27;   4;2020;marzec;28;sobota;0,0333;0,0667;0,9000; 18;  0;135,5
Jamaica;2020-03-29;  32;  2;  1;0;   2;  0;  29;   2;2020;marzec;29;niedziela;0,0312;0,0625;0,9062; 19;  0;159,0
Jamaica;2020-03-30;  36;  4;  1;0;   2;  0;  33;   4;2020;marzec;30;poniedziałek;0,0278;0,0556;0,9167; 20;  0;135,5
Jamaica;2020-03-31;  36;  0;  1;0;   2;  0;  33;   0;2020;marzec;31;wtorek;0,0278;0,0556;0,9167; 21;  0;197,5
Jamaica;2020-04-01;  44;  8;  3;2;   2;  0;  39;   6;2020;kwiecień; 1;środa;0,0682;0,0455;0,8864; 22;  0; 91,5
Jamaica;2020-04-02;  47;  3;  3;0;   2;  0;  42;   3;2020;kwiecień; 2;czwartek;0,0638;0,0426;0,8936; 23;  0;144,0
Jamaica;2020-04-03;  47;  0;  3;0;   2;  0;  42;   0;2020;kwiecień; 3;piątek;0,0638;0,0426;0,8936; 24;  0;197,5
Jamaica;2020-04-04;  53;  6;  3;0;   7;  5;  43;   1;2020;kwiecień; 4;sobota;0,0566;0,1321;0,8113; 25;  0;105,5
Jamaica;2020-04-05;  58;  5;  3;0;   8;  1;  47;   4;2020;kwiecień; 5;niedziela;0,0517;0,1379;0,8103; 26;  0;122,5
Jamaica;2020-04-06;  58;  0;  3;0;   8;  0;  47;   0;2020;kwiecień; 6;poniedziałek;0,0517;0,1379;0,8103; 27;  0;197,5
Jamaica;2020-04-07;  63;  5;  3;0;   8;  0;  52;   5;2020;kwiecień; 7;wtorek;0,0476;0,1270;0,8254; 28;  0;122,5
Jamaica;2020-04-08;  63;  0;  4;1;  10;  2;  49;  -3;2020;kwiecień; 8;środa;0,0635;0,1587;0,7778; 29;  0;197,5
Jamaica;2020-04-09;  63;  0;  4;0;  12;  2;  47;  -2;2020;kwiecień; 9;czwartek;0,0635;0,1905;0,7460; 30;  0;197,5
Jamaica;2020-04-10;  63;  0;  4;0;  13;  1;  46;  -1;2020;kwiecień;10;piątek;0,0635;0,2063;0,7302; 31;  0;197,5
Jamaica;2020-04-11;  65;  2;  4;0;  13;  0;  48;   2;2020;kwiecień;11;sobota;0,0615;0,2000;0,7385; 32;  0;159,0
Jamaica;2020-04-12;  69;  4;  4;0;  13;  0;  52;   4;2020;kwiecień;12;niedziela;0,0580;0,1884;0,7536; 33;  0;135,5
Jamaica;2020-04-13;  73;  4;  4;0;  19;  6;  50;  -2;2020;kwiecień;13;poniedziałek;0,0548;0,2603;0,6849; 34;  0;135,5
Jamaica;2020-04-14;  73;  0;  4;0;  19;  0;  50;   0;2020;kwiecień;14;wtorek;0,0548;0,2603;0,6849; 35;  0;197,5
Jamaica;2020-04-15; 125; 52;  5;1;  21;  2;  99;  49;2020;kwiecień;15;środa;0,0400;0,1680;0,7920; 36;  1; 48,0
Jamaica;2020-04-16; 143; 18;  5;0;  21;  0; 117;  18;2020;kwiecień;16;czwartek;0,0350;0,1469;0,8182; 37;  2; 63,5
Jamaica;2020-04-17; 143;  0;  5;0;  25;  4; 113;  -4;2020;kwiecień;17;piątek;0,0350;0,1748;0,7902; 38;  3;197,5
Jamaica;2020-04-18; 163; 20;  5;0;  25;  0; 133;  20;2020;kwiecień;18;sobota;0,0307;0,1534;0,8160; 39;  4; 60,5
Jamaica;2020-04-19; 173; 10;  5;0;  27;  2; 141;   8;2020;kwiecień;19;niedziela;0,0289;0,1561;0,8150; 40;  5; 83,5
Jamaica;2020-04-20; 223; 50;  5;0;  27;  0; 191;  50;2020;kwiecień;20;poniedziałek;0,0224;0,1211;0,8565; 41;  6; 49,0
Jamaica;2020-04-21; 223;  0;  6;1;  27;  0; 190;  -1;2020;kwiecień;21;wtorek;0,0269;0,1211;0,8520; 42;  7;197,5
Jamaica;2020-04-22; 233; 10;  6;0;  27;  0; 200;  10;2020;kwiecień;22;środa;0,0258;0,1159;0,8584; 43;  8; 83,5
Jamaica;2020-04-23; 257; 24;  6;0;  28;  1; 223;  23;2020;kwiecień;23;czwartek;0,0233;0,1089;0,8677; 44;  9; 59,0
Jamaica;2020-04-24; 288; 31;  7;1;  28;  0; 253;  30;2020;kwiecień;24;piątek;0,0243;0,0972;0,8785; 45; 10; 54,0
Jamaica;2020-04-25; 305; 17;  7;0;  28;  0; 270;  17;2020;kwiecień;25;sobota;0,0230;0,0918;0,8852; 46; 11; 65,5
Jamaica;2020-04-26; 350; 45;  7;0;  28;  0; 315;  45;2020;kwiecień;26;niedziela;0,0200;0,0800;0,9000; 47; 12; 51,0
Jamaica;2020-04-27; 364; 14;  7;0;  29;  1; 328;  13;2020;kwiecień;27;poniedziałek;0,0192;0,0797;0,9011; 48; 13; 73,0
Jamaica;2020-04-28; 364;  0;  7;0;  29;  0; 328;   0;2020;kwiecień;28;wtorek;0,0192;0,0797;0,9011; 49; 14;197,5
Jamaica;2020-04-29; 396; 32;  7;0;  29;  0; 360;  32;2020;kwiecień;29;środa;0,0177;0,0732;0,9091; 50; 15; 52,0
Jamaica;2020-04-30; 422; 26;  8;1;  29;  0; 385;  25;2020;kwiecień;30;czwartek;0,0190;0,0687;0,9123; 51; 16; 58,0
Jamaica;2020-05-01; 432; 10;  8;0;  31;  2; 393;   8;2020;maj; 1;piątek;0,0185;0,0718;0,9097; 52; 17; 83,5
Jamaica;2020-05-02; 463; 31;  8;0;  33;  2; 422;  29;2020;maj; 2;sobota;0,0173;0,0713;0,9114; 53; 18; 54,0
Jamaica;2020-05-03; 469;  6;  9;1;  38;  5; 422;   0;2020;maj; 3;niedziela;0,0192;0,0810;0,8998; 54; 19;105,5
Jamaica;2020-05-04; 471;  2;  9;0;  38;  0; 424;   2;2020;maj; 4;poniedziałek;0,0191;0,0807;0,9002; 55; 20;159,0
Jamaica;2020-05-05; 473;  2;  9;0;  56; 18; 408; -16;2020;maj; 5;wtorek;0,0190;0,1184;0,8626; 56; 21;159,0
Jamaica;2020-05-06; 478;  5;  9;0;  57;  1; 412;   4;2020;maj; 6;środa;0,0188;0,1192;0,8619; 57; 22;122,5
Jamaica;2020-05-07; 488; 10;  9;0;  58;  1; 421;   9;2020;maj; 7;czwartek;0,0184;0,1189;0,8627; 58; 23; 83,5
Jamaica;2020-05-08; 490;  2;  9;0;  62;  4; 419;  -2;2020;maj; 8;piątek;0,0184;0,1265;0,8551; 59; 24;159,0
Jamaica;2020-05-09; 490;  0;  9;0;  62;  0; 419;   0;2020;maj; 9;sobota;0,0184;0,1265;0,8551; 60; 25;197,5
Jamaica;2020-05-10; 502; 12;  9;0;  90; 28; 403; -16;2020;maj;10;niedziela;0,0179;0,1793;0,8028; 61; 26; 75,5
Jamaica;2020-05-11; 505;  3;  9;0;  90;  0; 406;   3;2020;maj;11;poniedziałek;0,0178;0,1782;0,8040; 62; 27;144,0
Jamaica;2020-05-12; 507;  2;  9;0; 100; 10; 398;  -8;2020;maj;12;wtorek;0,0178;0,1972;0,7850; 63; 28;159,0
Jamaica;2020-05-13; 509;  2;  9;0; 113; 13; 387; -11;2020;maj;13;środa;0,0177;0,2220;0,7603; 64; 29;159,0
Jamaica;2020-05-14; 509;  0;  9;0; 118;  5; 382;  -5;2020;maj;14;czwartek;0,0177;0,2318;0,7505; 65; 30;197,5
Jamaica;2020-05-15; 511;  2;  9;0; 121;  3; 381;  -1;2020;maj;15;piątek;0,0176;0,2368;0,7456; 66; 31;159,0
Jamaica;2020-05-16; 517;  6;  9;0; 121;  0; 387;   6;2020;maj;16;sobota;0,0174;0,2340;0,7485; 67; 32;105,5
Jamaica;2020-05-17; 520;  3;  9;0; 127;  6; 384;  -3;2020;maj;17;niedziela;0,0173;0,2442;0,7385; 68; 33;144,0
Jamaica;2020-05-18; 520;  0;  9;0; 131;  4; 380;  -4;2020;maj;18;poniedziałek;0,0173;0,2519;0,7308; 69; 34;197,5
Jamaica;2020-05-19; 520;  0;  9;0; 145; 14; 366; -14;2020;maj;19;wtorek;0,0173;0,2788;0,7038; 70; 35;197,5
Jamaica;2020-05-20; 529;  9;  9;0; 171; 26; 349; -17;2020;maj;20;środa;0,0170;0,3233;0,6597; 71; 36; 87,0
Jamaica;2020-05-21; 534;  5;  9;0; 181; 10; 344;  -5;2020;maj;21;czwartek;0,0169;0,3390;0,6442; 72; 37;122,5
Jamaica;2020-05-22; 544; 10;  9;0; 191; 10; 344;   0;2020;maj;22;piątek;0,0165;0,3511;0,6324; 73; 38; 83,5
Jamaica;2020-05-23; 550;  6;  9;0; 200;  9; 341;  -3;2020;maj;23;sobota;0,0164;0,3636;0,6200; 74; 39;105,5
Jamaica;2020-05-24; 552;  2;  9;0; 211; 11; 332;  -9;2020;maj;24;niedziela;0,0163;0,3822;0,6014; 75; 40;159,0
Jamaica;2020-05-25; 556;  4;  9;0; 238; 27; 309; -23;2020;maj;25;poniedziałek;0,0162;0,4281;0,5558; 76; 41;135,5
Jamaica;2020-05-26; 564;  8;  9;0; 267; 29; 288; -21;2020;maj;26;wtorek;0,0160;0,4734;0,5106; 77; 42; 91,5
Jamaica;2020-05-27; 569;  5;  9;0; 279; 12; 281;  -7;2020;maj;27;środa;0,0158;0,4903;0,4938; 78; 43;122,5
Jamaica;2020-05-28; 569;  0;  9;0; 284;  5; 276;  -5;2020;maj;28;czwartek;0,0158;0,4991;0,4851; 79; 44;197,5
Jamaica;2020-05-29; 575;  6;  9;0; 289;  5; 277;   1;2020;maj;29;piątek;0,0157;0,5026;0,4817; 80; 45;105,5
Jamaica;2020-05-30; 581;  6;  9;0; 290;  1; 282;   5;2020;maj;30;sobota;0,0155;0,4991;0,4854; 81; 46;105,5
