Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Saint Vincent and the Grenadines;2020-03-14;   1;  1; 0;0;   0;  0;  1;   1;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  1;  0;148,0;239,0;302,0; 96,5
Saint Vincent and the Grenadines;2020-03-15;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  2;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-16;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  3;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-17;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  4;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-18;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;18;środa;0,0000;0,0000;1,0000;  5;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-19;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  6;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-20;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  7;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-21;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  8;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-22;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  9;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-23;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 10;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-24;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 11;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-25;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 12;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-26;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 13;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-27;   1;  0; 0;0;   0;  0;  1;   0;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 14;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-28;   1;  0; 0;0;   1;  1;  0;  -1;2020;marzec;28;sobota;0,0000;1,0000;0,0000; 15;  0;317,5;239,0;120,5;399,5
Saint Vincent and the Grenadines;2020-03-29;   1;  0; 0;0;   1;  0;  0;   0;2020;marzec;29;niedziela;0,0000;1,0000;0,0000; 16;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-30;   1;  0; 0;0;   1;  0;  0;   0;2020;marzec;30;poniedziałek;0,0000;1,0000;0,0000; 17;  0;317,5;239,0;302,0;248,5
Saint Vincent and the Grenadines;2020-03-31;   1;  0; 0;0;   1;  0;  0;   0;2020;marzec;31;wtorek;0,0000;1,0000;0,0000; 18;  0;317,5;239,0;302,0;248,5
