Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Nicaragua;2020-03-19;   1;  1; 0; 0;   0;  0;  1;   1;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 1; 0
Nicaragua;2020-03-20;   1;  0; 0; 0;   0;  0;  1;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 2; 0
Nicaragua;2020-03-21;   2;  1; 0; 0;   0;  0;  2;   1;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 3; 0
Nicaragua;2020-03-22;   2;  0; 0; 0;   0;  0;  2;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 4; 0
Nicaragua;2020-03-23;   2;  0; 0; 0;   0;  0;  2;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 5; 0
Nicaragua;2020-03-24;   2;  0; 0; 0;   0;  0;  2;   0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 6; 0
Nicaragua;2020-03-25;   2;  0; 0; 0;   0;  0;  2;   0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 7; 0
Nicaragua;2020-03-26;   2;  0; 0; 0;   0;  0;  2;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 8; 0
Nicaragua;2020-03-27;   2;  0; 1; 1;   0;  0;  1;  -1;2020;marzec;27;piątek;0,5000;0,0000;0,5000; 9; 0
Nicaragua;2020-03-28;   4;  2; 1; 0;   0;  0;  3;   2;2020;marzec;28;sobota;0,2500;0,0000;0,7500;10; 0
Nicaragua;2020-03-29;   4;  0; 1; 0;   0;  0;  3;   0;2020;marzec;29;niedziela;0,2500;0,0000;0,7500;11; 0
Nicaragua;2020-03-30;   4;  0; 1; 0;   0;  0;  3;   0;2020;marzec;30;poniedziałek;0,2500;0,0000;0,7500;12; 0
Nicaragua;2020-03-31;   5;  1; 1; 0;   0;  0;  4;   1;2020;marzec;31;wtorek;0,2000;0,0000;0,8000;13; 0
Nicaragua;2020-04-01;   5;  0; 1; 0;   0;  0;  4;   0;2020;kwiecień; 1;środa;0,2000;0,0000;0,8000;14; 0
Nicaragua;2020-04-02;   5;  0; 1; 0;   0;  0;  4;   0;2020;kwiecień; 2;czwartek;0,2000;0,0000;0,8000;15; 0
Nicaragua;2020-04-03;   5;  0; 1; 0;   0;  0;  4;   0;2020;kwiecień; 3;piątek;0,2000;0,0000;0,8000;16; 0
Nicaragua;2020-04-04;   5;  0; 1; 0;   0;  0;  4;   0;2020;kwiecień; 4;sobota;0,2000;0,0000;0,8000;17; 0
Nicaragua;2020-04-05;   6;  1; 1; 0;   0;  0;  5;   1;2020;kwiecień; 5;niedziela;0,1667;0,0000;0,8333;18; 0
Nicaragua;2020-04-06;   6;  0; 1; 0;   0;  0;  5;   0;2020;kwiecień; 6;poniedziałek;0,1667;0,0000;0,8333;19; 0
Nicaragua;2020-04-07;   6;  0; 1; 0;   0;  0;  5;   0;2020;kwiecień; 7;wtorek;0,1667;0,0000;0,8333;20; 0
Nicaragua;2020-04-08;   6;  0; 1; 0;   0;  0;  5;   0;2020;kwiecień; 8;środa;0,1667;0,0000;0,8333;21; 0
Nicaragua;2020-04-09;   7;  1; 1; 0;   0;  0;  6;   1;2020;kwiecień; 9;czwartek;0,1429;0,0000;0,8571;22; 0
Nicaragua;2020-04-10;   7;  0; 1; 0;   0;  0;  6;   0;2020;kwiecień;10;piątek;0,1429;0,0000;0,8571;23; 0
Nicaragua;2020-04-11;   8;  1; 1; 0;   0;  0;  7;   1;2020;kwiecień;11;sobota;0,1250;0,0000;0,8750;24; 0
Nicaragua;2020-04-12;   9;  1; 1; 0;   4;  4;  4;  -3;2020;kwiecień;12;niedziela;0,1111;0,4444;0,4444;25; 0
Nicaragua;2020-04-13;   9;  0; 1; 0;   4;  0;  4;   0;2020;kwiecień;13;poniedziałek;0,1111;0,4444;0,4444;26; 0
Nicaragua;2020-04-14;   9;  0; 1; 0;   4;  0;  4;   0;2020;kwiecień;14;wtorek;0,1111;0,4444;0,4444;27; 0
Nicaragua;2020-04-15;   9;  0; 1; 0;   4;  0;  4;   0;2020;kwiecień;15;środa;0,1111;0,4444;0,4444;28; 0
Nicaragua;2020-04-16;   9;  0; 1; 0;   4;  0;  4;   0;2020;kwiecień;16;czwartek;0,1111;0,4444;0,4444;29; 0
Nicaragua;2020-04-17;   9;  0; 1; 0;   4;  0;  4;   0;2020;kwiecień;17;piątek;0,1111;0,4444;0,4444;30; 0
Nicaragua;2020-04-18;   9;  0; 2; 1;   6;  2;  1;  -3;2020;kwiecień;18;sobota;0,2222;0,6667;0,1111;31; 0
Nicaragua;2020-04-19;  10;  1; 2; 0;   6;  0;  2;   1;2020;kwiecień;19;niedziela;0,2000;0,6000;0,2000;32; 0
Nicaragua;2020-04-20;  10;  0; 2; 0;   6;  0;  2;   0;2020;kwiecień;20;poniedziałek;0,2000;0,6000;0,2000;33; 0
Nicaragua;2020-04-21;  10;  0; 2; 0;   7;  1;  1;  -1;2020;kwiecień;21;wtorek;0,2000;0,7000;0,1000;34; 0
Nicaragua;2020-04-22;  10;  0; 2; 0;   7;  0;  1;   0;2020;kwiecień;22;środa;0,2000;0,7000;0,1000;35; 0
Nicaragua;2020-04-23;  11;  1; 3; 1;   7;  0;  1;   0;2020;kwiecień;23;czwartek;0,2727;0,6364;0,0909;36; 0
