Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Saint Kitts and Nevis;2020-03-25; 2;2;0;0; 0;0; 2; 2;2020;marzec;25;środa;0;0,0000;1,0000;  1;0
Saint Kitts and Nevis;2020-03-26; 2;0;0;0; 0;0; 2; 0;2020;marzec;26;czwartek;0;0,0000;1,0000;  2;0
Saint Kitts and Nevis;2020-03-27; 2;0;0;0; 0;0; 2; 0;2020;marzec;27;piątek;0;0,0000;1,0000;  3;0
Saint Kitts and Nevis;2020-03-28; 2;0;0;0; 0;0; 2; 0;2020;marzec;28;sobota;0;0,0000;1,0000;  4;0
Saint Kitts and Nevis;2020-03-29; 2;0;0;0; 0;0; 2; 0;2020;marzec;29;niedziela;0;0,0000;1,0000;  5;0
Saint Kitts and Nevis;2020-03-30; 7;5;0;0; 0;0; 7; 5;2020;marzec;30;poniedziałek;0;0,0000;1,0000;  6;0
Saint Kitts and Nevis;2020-03-31; 8;1;0;0; 0;0; 8; 1;2020;marzec;31;wtorek;0;0,0000;1,0000;  7;0
Saint Kitts and Nevis;2020-04-01; 8;0;0;0; 0;0; 8; 0;2020;kwiecień; 1;środa;0;0,0000;1,0000;  8;0
Saint Kitts and Nevis;2020-04-02; 9;1;0;0; 0;0; 9; 1;2020;kwiecień; 2;czwartek;0;0,0000;1,0000;  9;0
Saint Kitts and Nevis;2020-04-03; 9;0;0;0; 0;0; 9; 0;2020;kwiecień; 3;piątek;0;0,0000;1,0000; 10;0
Saint Kitts and Nevis;2020-04-04; 9;0;0;0; 0;0; 9; 0;2020;kwiecień; 4;sobota;0;0,0000;1,0000; 11;0
Saint Kitts and Nevis;2020-04-05;10;1;0;0; 0;0;10; 1;2020;kwiecień; 5;niedziela;0;0,0000;1,0000; 12;0
Saint Kitts and Nevis;2020-04-06;10;0;0;0; 0;0;10; 0;2020;kwiecień; 6;poniedziałek;0;0,0000;1,0000; 13;0
Saint Kitts and Nevis;2020-04-07;11;1;0;0; 0;0;11; 1;2020;kwiecień; 7;wtorek;0;0,0000;1,0000; 14;0
Saint Kitts and Nevis;2020-04-08;11;0;0;0; 0;0;11; 0;2020;kwiecień; 8;środa;0;0,0000;1,0000; 15;0
Saint Kitts and Nevis;2020-04-09;11;0;0;0; 0;0;11; 0;2020;kwiecień; 9;czwartek;0;0,0000;1,0000; 16;0
Saint Kitts and Nevis;2020-04-10;12;1;0;0; 0;0;12; 1;2020;kwiecień;10;piątek;0;0,0000;1,0000; 17;0
Saint Kitts and Nevis;2020-04-11;12;0;0;0; 0;0;12; 0;2020;kwiecień;11;sobota;0;0,0000;1,0000; 18;0
Saint Kitts and Nevis;2020-04-12;12;0;0;0; 0;0;12; 0;2020;kwiecień;12;niedziela;0;0,0000;1,0000; 19;0
Saint Kitts and Nevis;2020-04-13;12;0;0;0; 0;0;12; 0;2020;kwiecień;13;poniedziałek;0;0,0000;1,0000; 20;0
Saint Kitts and Nevis;2020-04-14;14;2;0;0; 0;0;14; 2;2020;kwiecień;14;wtorek;0;0,0000;1,0000; 21;0
Saint Kitts and Nevis;2020-04-15;14;0;0;0; 0;0;14; 0;2020;kwiecień;15;środa;0;0,0000;1,0000; 22;0
Saint Kitts and Nevis;2020-04-16;14;0;0;0; 0;0;14; 0;2020;kwiecień;16;czwartek;0;0,0000;1,0000; 23;0
Saint Kitts and Nevis;2020-04-17;14;0;0;0; 0;0;14; 0;2020;kwiecień;17;piątek;0;0,0000;1,0000; 24;0
Saint Kitts and Nevis;2020-04-18;14;0;0;0; 0;0;14; 0;2020;kwiecień;18;sobota;0;0,0000;1,0000; 25;0
Saint Kitts and Nevis;2020-04-19;14;0;0;0; 0;0;14; 0;2020;kwiecień;19;niedziela;0;0,0000;1,0000; 26;0
Saint Kitts and Nevis;2020-04-20;15;1;0;0; 0;0;15; 1;2020;kwiecień;20;poniedziałek;0;0,0000;1,0000; 27;0
Saint Kitts and Nevis;2020-04-21;15;0;0;0; 0;0;15; 0;2020;kwiecień;21;wtorek;0;0,0000;1,0000; 28;0
Saint Kitts and Nevis;2020-04-22;15;0;0;0; 1;1;14;-1;2020;kwiecień;22;środa;0;0,0667;0,9333; 29;0
Saint Kitts and Nevis;2020-04-23;15;0;0;0; 1;0;14; 0;2020;kwiecień;23;czwartek;0;0,0667;0,9333; 30;0
Saint Kitts and Nevis;2020-04-24;15;0;0;0; 2;1;13;-1;2020;kwiecień;24;piątek;0;0,1333;0,8667; 31;0
Saint Kitts and Nevis;2020-04-25;15;0;0;0; 2;0;13; 0;2020;kwiecień;25;sobota;0;0,1333;0,8667; 32;0
Saint Kitts and Nevis;2020-04-26;15;0;0;0; 2;0;13; 0;2020;kwiecień;26;niedziela;0;0,1333;0,8667; 33;0
Saint Kitts and Nevis;2020-04-27;15;0;0;0; 2;0;13; 0;2020;kwiecień;27;poniedziałek;0;0,1333;0,8667; 34;0
Saint Kitts and Nevis;2020-04-28;15;0;0;0; 4;2;11;-2;2020;kwiecień;28;wtorek;0;0,2667;0,7333; 35;0
Saint Kitts and Nevis;2020-04-29;15;0;0;0; 4;0;11; 0;2020;kwiecień;29;środa;0;0,2667;0,7333; 36;0
Saint Kitts and Nevis;2020-04-30;15;0;0;0; 6;2; 9;-2;2020;kwiecień;30;czwartek;0;0,4000;0,6000; 37;0
Saint Kitts and Nevis;2020-05-01;15;0;0;0; 8;2; 7;-2;2020;maj; 1;piątek;0;0,5333;0,4667; 38;0
Saint Kitts and Nevis;2020-05-02;15;0;0;0; 8;0; 7; 0;2020;maj; 2;sobota;0;0,5333;0,4667; 39;0
Saint Kitts and Nevis;2020-05-03;15;0;0;0; 8;0; 7; 0;2020;maj; 3;niedziela;0;0,5333;0,4667; 40;0
Saint Kitts and Nevis;2020-05-04;15;0;0;0; 8;0; 7; 0;2020;maj; 4;poniedziałek;0;0,5333;0,4667; 41;0
Saint Kitts and Nevis;2020-05-05;15;0;0;0;12;4; 3;-4;2020;maj; 5;wtorek;0;0,8000;0,2000; 42;0
Saint Kitts and Nevis;2020-05-06;15;0;0;0;12;0; 3; 0;2020;maj; 6;środa;0;0,8000;0,2000; 43;0
Saint Kitts and Nevis;2020-05-07;15;0;0;0;12;0; 3; 0;2020;maj; 7;czwartek;0;0,8000;0,2000; 44;0
Saint Kitts and Nevis;2020-05-08;15;0;0;0;13;1; 2;-1;2020;maj; 8;piątek;0;0,8667;0,1333; 45;0
Saint Kitts and Nevis;2020-05-09;15;0;0;0;14;1; 1;-1;2020;maj; 9;sobota;0;0,9333;0,0667; 46;0
Saint Kitts and Nevis;2020-05-10;15;0;0;0;14;0; 1; 0;2020;maj;10;niedziela;0;0,9333;0,0667; 47;0
Saint Kitts and Nevis;2020-05-11;15;0;0;0;14;0; 1; 0;2020;maj;11;poniedziałek;0;0,9333;0,0667; 48;0
Saint Kitts and Nevis;2020-05-12;15;0;0;0;14;0; 1; 0;2020;maj;12;wtorek;0;0,9333;0,0667; 49;0
Saint Kitts and Nevis;2020-05-13;15;0;0;0;14;0; 1; 0;2020;maj;13;środa;0;0,9333;0,0667; 50;0
Saint Kitts and Nevis;2020-05-14;15;0;0;0;14;0; 1; 0;2020;maj;14;czwartek;0;0,9333;0,0667; 51;0
Saint Kitts and Nevis;2020-05-15;15;0;0;0;14;0; 1; 0;2020;maj;15;piątek;0;0,9333;0,0667; 52;0
Saint Kitts and Nevis;2020-05-16;15;0;0;0;14;0; 1; 0;2020;maj;16;sobota;0;0,9333;0,0667; 53;0
Saint Kitts and Nevis;2020-05-17;15;0;0;0;14;0; 1; 0;2020;maj;17;niedziela;0;0,9333;0,0667; 54;0
Saint Kitts and Nevis;2020-05-18;15;0;0;0;14;0; 1; 0;2020;maj;18;poniedziałek;0;0,9333;0,0667; 55;0
Saint Kitts and Nevis;2020-05-19;15;0;0;0;15;1; 0;-1;2020;maj;19;wtorek;0;1,0000;0,0000; 56;0
Saint Kitts and Nevis;2020-05-20;15;0;0;0;15;0; 0; 0;2020;maj;20;środa;0;1,0000;0,0000; 57;0
Saint Kitts and Nevis;2020-05-21;15;0;0;0;15;0; 0; 0;2020;maj;21;czwartek;0;1,0000;0,0000; 58;0
Saint Kitts and Nevis;2020-05-22;15;0;0;0;15;0; 0; 0;2020;maj;22;piątek;0;1,0000;0,0000; 59;0
Saint Kitts and Nevis;2020-05-23;15;0;0;0;15;0; 0; 0;2020;maj;23;sobota;0;1,0000;0,0000; 60;0
Saint Kitts and Nevis;2020-05-24;15;0;0;0;15;0; 0; 0;2020;maj;24;niedziela;0;1,0000;0,0000; 61;0
Saint Kitts and Nevis;2020-05-25;15;0;0;0;15;0; 0; 0;2020;maj;25;poniedziałek;0;1,0000;0,0000; 62;0
Saint Kitts and Nevis;2020-05-26;15;0;0;0;15;0; 0; 0;2020;maj;26;wtorek;0;1,0000;0,0000; 63;0
Saint Kitts and Nevis;2020-05-27;15;0;0;0;15;0; 0; 0;2020;maj;27;środa;0;1,0000;0,0000; 64;0
Saint Kitts and Nevis;2020-05-28;15;0;0;0;15;0; 0; 0;2020;maj;28;czwartek;0;1,0000;0,0000; 65;0
Saint Kitts and Nevis;2020-05-29;15;0;0;0;15;0; 0; 0;2020;maj;29;piątek;0;1,0000;0,0000; 66;0
Saint Kitts and Nevis;2020-05-30;15;0;0;0;15;0; 0; 0;2020;maj;30;sobota;0;1,0000;0,0000; 67;0
Saint Kitts and Nevis;2020-05-31;15;0;0;0;15;0; 0; 0;2020;maj;31;niedziela;0;1,0000;0,0000; 68;0
Saint Kitts and Nevis;2020-06-01;15;0;0;0;15;0; 0; 0;2020;czerwiec; 1;poniedziałek;0;1,0000;0,0000; 69;0
Saint Kitts and Nevis;2020-06-02;15;0;0;0;15;0; 0; 0;2020;czerwiec; 2;wtorek;0;1,0000;0,0000; 70;0
Saint Kitts and Nevis;2020-06-03;15;0;0;0;15;0; 0; 0;2020;czerwiec; 3;środa;0;1,0000;0,0000; 71;0
Saint Kitts and Nevis;2020-06-04;15;0;0;0;15;0; 0; 0;2020;czerwiec; 4;czwartek;0;1,0000;0,0000; 72;0
